variant,fid,dim,seed,error,seconds
shuffled,19,50,21,4163.337328171816,689.382
shuffled,19,50,22,2098.0541863499598,692.292
shuffled,19,50,23,2792.251845203222,699.6
shuffled,19,50,24,3538.58323906868,661.419
shuffled,19,50,25,4120.4968220062965,689.537
shuffled,19,50,26,2830.247085103556,718.532
shuffled,19,50,27,3098.6621941153553,716.0
shuffled,19,50,28,2962.733076216329,714.945
shuffled,19,50,29,2622.5906571719206,718.987
shuffled,19,50,3,2621.7654737921275,594.534
shuffled,19,50,4,3305.4007414987627,596.859
shuffled,19,50,5,3131.236159111555,597.837
shuffled,19,50,6,2755.4196269615322,601.483
shuffled,19,50,7,4521.850506508042,601.688
shuffled,19,50,8,2039.4137613635612,593.172
shuffled,19,50,9,3342.7295513325234,591.034
shuffled,1,50,0,674.1849184788497,25.173
shuffled,1,50,1,1253.0425380409388,25.199
shuffled,1,50,10,908.6986591358242,26.32
shuffled,1,50,11,999.8041629078673,26.845
shuffled,1,50,12,557.266699063127,25.367
shuffled,1,50,13,3196.124982297771,26.093
shuffled,1,50,14,1116.7212585837888,26.531
shuffled,1,50,15,304.04659025246195,25.661
shuffled,1,50,16,481.50665701449043,26.581
shuffled,1,50,17,3640.3236462534487,26.016
shuffled,1,50,18,1201.2533601096816,25.778
shuffled,1,50,19,3253.665692952249,25.557
shuffled,1,50,2,7067.999191197771,25.912
shuffled,1,50,20,1348.67878238857,25.333
shuffled,1,50,21,116.8819466748979,26.919
shuffled,1,50,22,2055.83779432633,25.689
shuffled,1,50,23,792.0779814643151,26.174
shuffled,1,50,24,6209.855515904526,25.809
shuffled,1,50,25,3997.1281373454876,25.311
shuffled,1,50,26,192.90741306351578,25.324
shuffled,1,50,27,5841.5737160034805,25.583
shuffled,1,50,28,4671.0734560531355,26.262
shuffled,1,50,29,126.70313468527735,26.224
shuffled,1,50,3,141.85484659296444,26.425
shuffled,1,50,4,920.8663660807404,26.28
shuffled,1,50,5,1369.2341101800744,26.927
shuffled,1,50,6,2007.8166346316066,25.084
shuffled,1,50,7,196.79590407210958,25.345
shuffled,1,50,8,149.4689814987307,24.978
shuffled,1,50,9,177.95526285300332,26.759
shuffled,20,50,0,100.21415863826815,85.438
shuffled,20,50,1,1800.222554982056,85.462
shuffled,20,50,10,100.19500741237925,87.232
shuffled,20,50,11,1661.980605254389,86.763
shuffled,20,50,12,2746.6940880020793,85.299
shuffled,20,50,13,2013.268904770589,83.382
shuffled,20,50,14,1496.8093178604886,86.754
shuffled,20,50,15,3041.245372899344,85.297
shuffled,20,50,16,100.20828207566228,85.005
shuffled,20,50,17,100.19532672892001,85.434
shuffled,20,50,18,1678.5511433092702,84.35
shuffled,20,50,19,100.22375472051272,83.56
shuffled,20,50,2,100.27085027818703,85.796
shuffled,20,50,20,1867.0614042382185,86.46
shuffled,20,50,21,2430.1198789175032,84.659
shuffled,20,50,22,100.32514798794318,83.776
shuffled,20,50,23,100.2304773706087,86.245
shuffled,20,50,24,2751.588243390289,83.858
shuffled,20,50,25,1943.5229497415694,84.037
shuffled,20,50,26,1481.9761731802128,84.879
shuffled,20,50,27,1468.5020442796013,84.382
shuffled,20,50,28,1457.050217755233,86.157
shuffled,20,50,29,2304.41957231774,85.381
shuffled,20,50,3,2569.8595048207562,87.286
shuffled,20,50,4,2038.7150800872141,87.024
shuffled,20,50,5,100.24875461376541,85.682
shuffled,20,50,6,100.223659674577,85.138
shuffled,20,50,7,1742.076064566113,83.608
shuffled,20,50,8,2415.1170324407376,83.541
shuffled,20,50,9,2769.5187160350306,84.438
shuffled,21,50,0,5352.783352995715,109.58
shuffled,21,50,1,7088.4763981642645,110.875
shuffled,21,50,10,4690.325568811166,112.889
