config,N,K,p,arm,chi,n_eff,entropy
paper defaults,200,4,0.3,social,0.016637616508479725,0.9997232663196449,0.9998003143755636
paper defaults,200,4,0.3,social,0.3389600667191106,0.8969463156401963,0.9493813343737025
paper defaults,200,4,0.3,social,0.551868036171387,0.7665429574927815,0.8909651394416359
paper defaults,200,4,0.3,social,0.4500950545354607,0.8315416672436685,0.9271247214676538
paper defaults,200,4,0.3,social,0.6460073393190496,0.70555423745611,0.8335772969464679
paper defaults,200,4,0.3,social,0.3579937203371542,0.8863994821928463,0.9528042997982769
paper defaults,200,4,0.3,social,0.6195346780587273,0.7226356571315462,0.8544439612650024
paper defaults,200,4,0.3,social,0.7624365354938594,0.6323872831705931,0.7679037946813189
paper defaults,200,4,0.3,social,0.5484328433063872,0.7687703446187273,0.8846763456441643
paper defaults,200,4,0.3,social,0.2836814255662108,0.925518739490621,0.9733962650970205
paper defaults,200,4,0.3,social,0.3018737654393094,0.9164829520939143,0.9553655386085743
paper defaults,200,4,0.3,social,0.4972413748476014,0.8017645330951945,0.8629193692801017
paper defaults,200,4,0.3,social,0.6055804746635909,0.7316746355083222,0.783339807139622
paper defaults,200,4,0.3,social,0.579844280444543,0.7483800997125979,0.8303186179816775
paper defaults,200,4,0.3,social,0.8778007566677926,0.5648012999941047,0.685434327074389
paper defaults,200,4,0.3,social,0.47541134959320075,0.815650072840967,0.9011223862483744
paper defaults,200,4,0.3,social,0.18716977078152602,0.9661532151765887,0.9845771909783843
paper defaults,200,4,0.3,social,0.2807663698528073,0.9269303111859213,0.9732434033621378
paper defaults,200,4,0.3,social,0.3240403726889877,0.9049756039981298,0.9592661648126432
paper defaults,200,4,0.3,social,0.38416578724183353,0.8713963985110762,0.9398745138945459
paper defaults,200,4,0.3,social,0.2504993290439687,0.9409551456710369,0.9694653539709529
paper defaults,200,4,0.3,social,0.5506242420510364,0.7673495492809985,0.8685295605546066
paper defaults,200,4,0.3,social,0.6815907043491778,0.6827961841930764,0.7803450946334537
paper defaults,200,4,0.3,social,0.6080068799968206,0.7301016102341776,0.713848590440762
paper defaults,200,4,0.3,social,0.9127528893221205,0.5455186676134087,0.7898336419765891
paper defaults,200,4,0.3,social,0.38780435104709476,0.869268747849231,0.9224288379056025
paper defaults,200,4,0.3,social,0.32598842039564724,0.9039397261941636,0.9463155175372582
paper defaults,200,4,0.3,social,0.29491280504940154,0.9199855768566252,0.9594113202255883
paper defaults,200,4,0.3,social,0.13394771694606705,0.9823742501675954,0.9937236715805992
paper defaults,200,4,0.3,social,0.4299453368748572,0.8439865588058059,0.9291102119787282
paper defaults,200,4,0.3,social,0.6071390314231307,0.7306641762654086,0.8846314278145462
paper defaults,200,4,0.3,social,0.5153130390726333,0.7901718249903,0.8581709902712724
paper defaults,200,4,0.3,social,0.5131925863893775,0.7915358658999262,0.8814842585430608
paper defaults,200,4,0.3,social,0.578360655643735,0.7493437352493633,0.8009715188226592
paper defaults,200,4,0.3,social,0.4636742184043014,0.8230494804105026,0.9157666348803218
paper defaults,200,4,0.3,social,0.5860873625674683,0.7443254138296842,0.8786884831563627
paper defaults,200,4,0.3,social,0.10269754877468604,0.9895632872569874,0.9962161913084991
paper defaults,200,4,0.3,social,0.5387577411369379,0.7750376472079439,0.8636065307784068
paper defaults,200,4,0.3,social,0.6363973611222131,0.7117429610863633,0.8705184810139874
paper defaults,200,4,0.3,social,0.6686453984902169,0.6910436129888804,0.8976793855162135
paper defaults,200,4,0.3,social,0.8186718854182008,0.5987222108985937,0.811171841155516
paper defaults,200,4,0.3,social,0.4366442159613672,0.8398716139333733,0.930391448506483
paper defaults,200,4,0.3,social,0.3901978398849672,0.8678639367348036,0.9431051051909218
paper defaults,200,4,0.3,social,0.9705258936551016,0.514954136752317,0.7165643655697729
paper defaults,200,4,0.3,social,0.06854994655300639,0.9953228830452828,0.9966076596078323
paper defaults,200,4,0.3,social,0.24652509317832733,0.9427073194145339,0.9716627381706375
paper defaults,200,4,0.3,social,1.0146760171619416,0.49271583207458025,0.7504750254760294
paper defaults,200,4,0.3,social,0.47422930912168654,0.816397548781742,0.9210500271185571
paper defaults,200,4,0.3,social,0.5981796917293632,0.7364752161658443,0.8486303494841575
paper defaults,200,4,0.3,social,0.2606566163379291,0.9363805526827451,0.9763019462807747
paper defaults,200,4,0.3,social,0.6257728895899995,0.7186015792448898,0.8264120618014913
paper defaults,200,4,0.3,social,0.31881174388652594,0.9077367902254623,0.9551615206705213
paper defaults,200,4,0.3,social,0.4978154679300918,0.8013974832716937,0.914769912232025
paper defaults,200,4,0.3,social,0.4551617884555833,0.8283821939741961,0.9211546832573704
paper defaults,200,4,0.3,social,0.5303724716233591,0.7804604187696482,0.8817977282225185
paper defaults,200,4,0.3,social,0.3864292599264055,0.8700739663393431,0.9540893158301149
paper defaults,200,4,0.3,social,0.3486144424416633,0.891637486683837,0.945434128718072
paper defaults,200,4,0.3,social,0.5381662026205682,0.7754204967535633,0.881314142608686
paper defaults,200,4,0.3,social,0.5656747815693212,0.7575826685068576,0.8931715557458665
paper defaults,200,4,0.3,social,0.3321714340663672,0.900626768279571,0.9561635762526934
paper defaults,200,4,0.3,social,0.4767265704117904,0.8148178053589753,0.9169247077490383
paper defaults,200,4,0.3,social,1.0762564829201655,0.4633216045525545,0.5956252737033076
paper defaults,200,4,0.3,social,0.5468484769380663,0.7697973064558571,0.8425585311877939
paper defaults,200,4,0.3,social,0.5524612488108869,0.7661582204977051,0.8447944105190915
paper defaults,200,4,0.3,social,0.8860407297851534,0.5602026937098001,0.6887747652761266
paper defaults,200,4,0.3,social,0.9255819804738339,0.5385893905492586,0.7234267142864251
paper defaults,200,4,0.3,social,0.47257644575523994,0.8174419237226633,0.9189864313828034
paper defaults,200,4,0.3,social,0.4337068082364924,0.8416788629680837,0.9193734403529821
paper defaults,200,4,0.3,social,0.6698530340671565,0.6902725677895512,0.8068483285378781
paper defaults,200,4,0.3,social,0.5229687649762111,0.7852397978050885,0.8838327185530754
paper defaults,200,4,0.3,social,0.27755173815893425,0.9284749616400793,0.9662775205596779
paper defaults,200,4,0.3,social,0.507228270166566,0.7953674503332491,0.9017881865528921
paper defaults,200,4,0.3,social,0.635612385703849,0.712249137155303,0.864241063274599
paper defaults,200,4,0.3,social,0.08004810711617566,0.9936330977432245,0.997677008010808
paper defaults,200,4,0.3,social,0.5081382557344353,0.7947833681879278,0.9149371795449055
paper defaults,200,4,0.3,social,0.22336667685945688,0.9524783116921345,0.9836914821436086
paper defaults,200,4,0.3,social,0.397330575113851,0.8636536315080022,0.9315107179552088
paper defaults,200,4,0.3,social,0.362338356361601,0.8839473603248656,0.9506409283668015
paper defaults,200,4,0.3,social,0.3383069635626022,0.8973023131456312,0.9666814848536058
paper defaults,200,4,0.3,social,0.2805783762695279,0.9270209907325884,0.9748454453562205
paper defaults,200,4,0.3,social,0.4104019112724604,0.855849500720496,0.9373385228876614
paper defaults,200,4,0.3,social,0.02152147462490834,0.9995370405606847,0.9997901363725086
paper defaults,200,4,0.3,social,0.25346035610270495,0.93963577557232,0.9692875701084808
paper defaults,200,4,0.3,social,0.4293885118458945,0.844327537427659,0.9033265723434516
paper defaults,200,4,0.3,social,0.07369069462616328,0.9945990106179353,0.9980275423575125
paper defaults,200,4,0.3,social,0.056451609195451474,0.9968233391517829,0.9988546751449562
paper defaults,200,4,0.3,social,0.1649924907209066,0.973498904656571,0.9904657558511081
paper defaults,200,4,0.3,social,0.18181412958043558,0.9680013807298636,0.9852433254305714
paper defaults,200,4,0.3,social,0.6414410156867032,0.7084929862561283,0.8683777984698555
