variant,function,seed,best,evals,seconds
social,Griewank,27,1.3098117371582425,20000,3.345328499999596
social,Griewank,28,1.6709805746116535,20000,3.3501785999978893
social,Griewank,29,1.2305145737412575,20000,3.3285348000063095
social,Penalized,0,1.7942449849578301,20000,8.842521400001715
social,Penalized,1,3.0504820997112505,20000,8.934362799991504
social,Penalized,2,4.924569016778052,20000,8.96639229998982
social,Penalized,3,4.423250470319065,20000,8.962384999991627
social,Penalized,4,7.414594819485762,20000,8.994440300011775
social,Penalized,5,2.679094223421328,20000,9.101445600012084
social,Penalized,6,3.4224481640613758,20000,9.344342899988987
social,Penalized,7,3.8838370954210317,20000,9.418821499988553
social,Penalized,8,2.4656227247026883,20000,9.341549599994323
social,Penalized,9,2.774738751461106,20000,9.438328599993838
social,Penalized,10,3.2387950876036746,20000,9.383938899991335
social,Penalized,11,4.097904329215386,20000,9.478407000002335
social,Penalized,12,3.298187971354162,20000,10.691152100000181
social,Penalized,13,3.473185485500792,20000,10.680297600003541
social,Penalized,14,4.795555044855077,20000,10.778819200000726
social,Penalized,15,2.2089108453765394,20000,10.767095900009735
social,Penalized,16,6.0713548776452,20000,10.684952700001304
social,Penalized,17,3.021754905574645,20000,10.404514399997424
social,Penalized,18,6.99507173195065,20000,3.533872700005304
social,Penalized,19,4.3176638057277925,20000,3.4109036000008928
social,Penalized,20,4.964846943804045,20000,3.1808028999948874
social,Penalized,21,2.812845852710204,20000,2.9995047000120394
social,Penalized,22,2.5940208318404703,20000,2.958208800002467
social,Penalized,23,2.231170772412512,20000,2.7499174999975367
social,Penalized,24,4.642280795116001,20000,2.479002899999614
social,Penalized,25,5.919871174613797,20000,2.4990820000093663
social,Penalized,26,2.48501186782204,20000,2.507160399996792
social,Penalized,27,3.5749842814772093,20000,2.4209542000025976
social,Penalized,28,4.937922362075,20000,2.514987200003816
social,Penalized,29,4.624073734915802,20000,2.4777094000019133
social,Quartic,0,0.0004032761546236677,20000,1.1178713999979664
social,Quartic,1,0.0001150415915940614,20000,1.0751706000010017
social,Quartic,2,0.00012989773947620409,20000,1.0902986000000965
social,Quartic,3,0.00017859359145544422,20000,1.113215899997158
social,Quartic,4,0.0003219298940040689,20000,1.1030003000050783
social,Quartic,5,7.124199885885707e-05,20000,1.1089340000035008
social,Quartic,6,9.845186333214623e-05,20000,1.0849104999942938
social,Quartic,7,0.00037954301520669634,20000,1.0707928000047104
social,Quartic,8,0.0011013669956585776,20000,1.093066200002795
social,Quartic,9,0.00012743079396470498,20000,1.118006199991214
social,Quartic,10,0.0016676402977564761,20000,1.083913599999505
social,Quartic,11,0.0004613378437138172,20000,1.0502348999871174
social,Quartic,12,0.00015465012928037958,20000,1.1261901999969268
social,Quartic,13,0.0014121887051465247,20000,1.0999341999995522
social,Quartic,14,0.0003276048329168007,20000,1.1143281000113348
social,Quartic,15,0.00035107509144787175,20000,1.102228699994157
social,Quartic,16,0.0001923398144209906,20000,1.10061089998635
social,Quartic,17,0.00033368300589277155,20000,1.1133850000042003
social,Quartic,18,0.00031811280065444114,20000,1.0793344000121579
social,Quartic,19,5.764935419347321e-05,20000,1.1094234000047436
social,Quartic,20,0.0002281320973407838,20000,1.1013526000024285
social,Quartic,21,0.0002752665347905029,20000,1.1551116999908118
social,Quartic,22,0.0003841823229875148,20000,1.123607700006687
social,Quartic,23,5.9286970023823826e-05,20000,1.143095399995218
social,Quartic,24,0.00019110608980610596,20000,1.1764829000021564
social,Quartic,25,7.890360771819124e-05,20000,1.1702296000003116
social,Quartic,26,0.0001544930695582986,20000,1.127524599985918
social,Quartic,27,0.0001577562813876782,20000,1.125499600006151
social,Quartic,28,0.000985806267767752,20000,1.172767100011697
social,Quartic,29,8.86843112066882e-05,20000,1.1556711000012
social,Schwefel_1_2,0,821.7847450689057,20000,2.925872400010121
social,Schwefel_1_2,1,772.9518124091936,20000,2.9377190999948652
social,Schwefel_1_2,2,1495.8502410822691,20000,2.9208791999990353
social,Schwefel_1_2,3,1268.323111106079,20000,2.959413000004133
social,Schwefel_1_2,4,1285.0046379011394,20000,2.9248824999958742
social,Schwefel_1_2,5,1210.8758260496477,20000,2.946933799990802
social,Schwefel_1_2,6,801.4986593704331,20000,3.0441831999924034
social,Schwefel_1_2,7,688.9991427891734,20000,3.0410582999902545
social,Schwefel_1_2,8,1234.9820195926793,20000,3.0844465999980457
social,Schwefel_1_2,9,697.7960912589594,20000,3.075295800008462
social,Schwefel_1_2,10,1245.793301359058,20000,3.117345899998327
social,Schwefel_1_2,11,1159.786265035135,20000,3.1421838000096614
social,Schwefel_1_2,12,1492.0361711127136,20000,3.388824800000293
