variant,function,seed,best,seconds
fixed_K16,Ackley,12,4.167506837108128,1.776
fixed_K16,Ackley,13,1.3427583316288438,1.798
fixed_K16,Ackley,14,6.4687974268055655,1.789
fixed_K16,Ackley,15,1.6453911304842959,1.788
fixed_K16,Ackley,16,0.2980030898101842,1.777
fixed_K16,Ackley,17,1.714958594110691,1.806
fixed_K16,Ackley,18,6.280206409075003,1.819
fixed_K16,Ackley,19,0.2330410373412417,1.834
fixed_K16,Ackley,2,0.06483580526990496,1.805
fixed_K16,Ackley,20,5.0243617885837,1.801
fixed_K16,Ackley,21,0.9350277236184295,1.816
fixed_K16,Ackley,22,1.260107299938277,1.818
fixed_K16,Ackley,23,0.6100878842715862,1.83
fixed_K16,Ackley,24,1.5105138446579258,1.802
fixed_K16,Ackley,25,3.2847263791146877,1.823
fixed_K16,Ackley,26,0.19495377907665246,1.794
fixed_K16,Ackley,27,0.11811271845636684,1.809
fixed_K16,Ackley,28,1.3535664073813014,1.761
fixed_K16,Ackley,29,0.19287398193874639,1.795
fixed_K16,Ackley,3,0.6117266589096251,1.926
fixed_K16,Ackley,4,0.24165793852185802,1.876
fixed_K16,Ackley,5,0.3539112798822477,2.027
fixed_K16,Ackley,6,4.7004083738696,1.998
fixed_K16,Ackley,7,1.156098707606351,2.012
fixed_K16,Ackley,8,0.09702385993579243,2.033
fixed_K16,Ackley,9,5.412995163102611,2.019
fixed_K16,Griewank,0,0.036692605569412895,1.647
fixed_K16,Griewank,1,0.03650251068776367,1.659
fixed_K16,Griewank,10,0.015454264326864475,1.708
fixed_K16,Griewank,11,0.018542126701082018,1.7
fixed_K16,Griewank,12,0.040057002640732975,1.711
fixed_K16,Griewank,13,0.014396551639319854,1.668
fixed_K16,Griewank,14,0.00616450059264273,1.652
fixed_K16,Griewank,15,0.032438312884145226,1.644
fixed_K16,Griewank,16,0.010899843006057175,1.676
fixed_K16,Griewank,17,0.005244126974390251,1.716
fixed_K16,Griewank,18,0.023330376579567824,1.669
fixed_K16,Griewank,19,0.033347654621200706,1.688
fixed_K16,Griewank,2,0.00798125186591625,1.668
fixed_K16,Griewank,20,0.04161005391408268,1.648
fixed_K16,Griewank,21,0.06169411318862583,1.713
fixed_K16,Griewank,22,0.010609375030949053,1.696
fixed_K16,Griewank,23,0.013601154620383582,1.668
fixed_K16,Griewank,24,0.006490777346697452,1.649
fixed_K16,Griewank,25,0.02592626432849887,1.692
fixed_K16,Griewank,26,0.017374111804301928,1.688
fixed_K16,Griewank,27,0.010985742372406126,1.651
fixed_K16,Griewank,28,0.030359199086093303,1.674
fixed_K16,Griewank,29,0.019833599831022397,1.696
fixed_K16,Griewank,3,0.047082035264576216,1.703
fixed_K16,Griewank,4,0.019328579219255237,1.701
fixed_K16,Griewank,5,0.04753041257394186,1.677
fixed_K16,Griewank,6,0.055295563421577154,1.683
fixed_K16,Griewank,7,0.034935733879076336,1.672
fixed_K16,Griewank,8,0.024476407066255312,1.665
fixed_K16,Griewank,9,0.020092695015603956,1.68
fixed_K16,Penalized2,0,2.137354291901376,6.752
fixed_K16,Penalized2,1,0.934285673895765,6.714
fixed_K16,Penalized2,10,3.4962528417334187,6.799
fixed_K16,Penalized2,11,1.4573266714626019,6.787
fixed_K16,Penalized2,12,0.036842511700770776,6.791
fixed_K16,Penalized2,13,1.105690938705573,6.841
fixed_K16,Penalized2,14,0.028425478179436116,6.933
fixed_K16,Penalized2,15,1.9815032866289792,6.856
fixed_K16,Penalized2,16,4.622956675944887,6.828
fixed_K16,Penalized2,17,0.026605984449187,6.817
fixed_K16,Penalized2,18,2.9389614994775615,6.806
fixed_K16,Penalized2,19,2.5275782205733797,6.83
fixed_K16,Penalized2,2,0.00683298652109704,6.744
fixed_K16,Penalized2,20,0.1671096071829038,6.893
fixed_K16,Penalized2,21,1.878949315946235,6.856
